customer_id,age,gender,income_bucket,orders_last_12m,recency_days,avg_order_value,website_visits_30d,email_opens_90d,top_category,cat_share_electronics,cat_share_apparel,cat_share_home,cat_share_beauty,cat_share_groceries,cat_share_sports,discount_exposed_30d,feedback_text,purchase_next_30d
700,30,M,Mid,7,99,183.34,4,8,Apparel,0.033,0.366,0.084,0.138,0.07,0.31,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,1
701,58,M,Low,0,747,27.91,1,2,Home,0.161,0.109,0.459,0.083,0.096,0.093,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
702,39,M,Low,10,30,37.19,18,6,Apparel,0.184,0.31,0.146,0.097,0.047,0.215,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
703,45,M,Low,5,130,260.2,3,5,Groceries,0.032,0.1,0.218,0.191,0.418,0.041,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
704,38,M,Mid,5,19,161.99,6,2,Sports,0.068,0.176,0.076,0.218,0.101,0.361,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
705,27,M,High,0,668,29.42,0,1,Home,0.145,0.113,0.27,0.237,0.106,0.13,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
706,33,M,High,8,22,44.61,17,1,Electronics,0.359,0.034,0.013,0.136,0.183,0.274,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",1
707,48,F,High,9,63,109.48,8,3,Home,0.01,0.173,0.525,0.099,0.182,0.01,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
708,18,F,Mid,13,38,46.5,14,5,Sports,0.16,0.094,0.106,0.007,0.017,0.616,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
709,33,M,Low,9,106,87.9,13,5,Beauty,0.012,0.01,0.196,0.419,0.218,0.143,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
710,28,F,Mid,10,19,49.31,12,6,Apparel,0.184,0.44,0.073,0.107,0.026,0.17,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
711,48,F,Mid,18,48,48.08,15,6,Electronics,0.515,0.003,0.011,0.34,0.041,0.089,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,1
712,40,M,Low,4,54,202.9,3,2,Electronics,0.302,0.197,0.155,0.055,0.046,0.245,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
713,42,M,Mid,6,60,42.36,10,7,Electronics,0.359,0.136,0.075,0.03,0.084,0.316,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
714,38,M,Mid,9,196,59.56,8,9,Apparel,0.11,0.693,0.05,0.054,0.016,0.078,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
715,32,M,High,3,673,38.97,1,5,Sports,0.163,0.028,0.038,0.279,0.105,0.386,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
716,39,F,High,7,196,116.07,9,4,Apparel,0.059,0.568,0.19,0.141,0.037,0.004,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
717,49,M,Mid,1,717,31.22,0,10,Home,0.114,0.008,0.288,0.106,0.263,0.221,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
718,29,M,High,4,35,82.97,5,4,Home,0.066,0.284,0.36,0.106,0.006,0.178,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
719,40,M,Mid,10,57,29.19,10,5,Groceries,0.273,0.022,0.07,0.135,0.473,0.026,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
720,33,F,Low,11,20,31.99,13,4,Groceries,0.052,0.217,0.028,0.128,0.322,0.252,0,"For the price, I think this product provides great value and I would happily recommend it to others.",1
721,45,F,Low,2,769,40.03,0,6,Apparel,0.043,0.578,0.129,0.131,0.016,0.103,0,"For the money I paid, this product was not worth it and I felt disappointed.",0
722,35,F,Mid,4,48,83.91,7,7,Electronics,0.347,0.138,0.055,0.343,0.019,0.098,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
723,29,F,Mid,7,197,60.56,9,2,Electronics,0.488,0.221,0.008,0.021,0.141,0.121,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
724,26,M,Mid,6,66,204.88,5,4,Beauty,0.289,0.204,0.026,0.295,0.069,0.118,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
725,43,M,Mid,5,23,222.06,1,7,Electronics,0.563,0.066,0.001,0.124,0.005,0.242,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
726,30,F,Mid,0,593,33.62,1,1,Apparel,0.103,0.51,0.192,0.074,0.079,0.041,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
727,23,F,Mid,4,134,151.33,4,4,Groceries,0.038,0.035,0.158,0.093,0.502,0.174,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
728,32,F,Mid,6,74,75.76,8,3,Electronics,0.446,0.002,0.192,0.248,0.017,0.096,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
729,45,M,Mid,5,87,89.5,10,5,Apparel,0.082,0.324,0.071,0.279,0.031,0.213,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
730,37,F,Mid,5,23,203.23,8,2,Apparel,0.104,0.657,0.077,0.048,0.061,0.053,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
731,54,F,Low,7,43,68.93,8,6,Electronics,0.389,0.302,0.03,0.152,0.126,0,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",1
732,31,M,Mid,7,75,56.99,11,5,Beauty,0.038,0.053,0.171,0.281,0.252,0.204,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
733,43,M,Mid,0,312,35.75,1,7,Home,0.079,0.063,0.485,0.164,0.055,0.155,0,"For the money I paid, this product was not worth it and I felt disappointed.",0
734,18,M,Mid,11,49,38.65,8,13,Sports,0.198,0.246,0.165,0.007,0.034,0.349,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
735,18,F,High,5,102,204.57,7,8,Groceries,0.061,0.235,0.125,0.084,0.294,0.201,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
736,35,F,High,3,44,214.48,1,5,Electronics,0.472,0.091,0.254,0.029,0.001,0.154,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",1
737,18,F,Mid,5,27,177.28,3,5,Home,0.31,0.101,0.343,0.107,0.11,0.029,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",1
738,41,M,Mid,2,452,21.86,3,7,Groceries,0.156,0.094,0.219,0.131,0.295,0.105,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
739,35,M,Mid,0,331,36.98,0,4,Apparel,0.101,0.352,0.24,0.17,0.049,0.087,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
740,44,M,Mid,6,76,249.97,5,6,Sports,0.147,0.081,0.021,0.228,0.213,0.309,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
741,59,M,Mid,4,104,165.16,4,9,Groceries,0.237,0.027,0.125,0.111,0.339,0.161,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
742,28,M,Mid,6,97,64.69,11,8,Electronics,0.487,0.037,0.014,0.045,0.248,0.169,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
743,45,M,Low,9,149,72.52,11,7,Beauty,0.111,0.104,0.12,0.516,0.036,0.112,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
744,51,F,High,1,118,225.63,3,6,Beauty,0.238,0.098,0.126,0.426,0.021,0.09,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
745,55,F,High,1,6,30.45,15,3,Home,0.166,0.002,0.327,0.086,0.115,0.305,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
746,36,F,Mid,6,190,102.31,3,3,Sports,0.288,0.211,0.009,0.034,0.061,0.398,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
747,45,M,Mid,5,83,112.54,11,8,Sports,0.219,0.025,0.208,0.203,0.098,0.247,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
748,46,F,High,2,406,24.54,3,6,Apparel,0.224,0.29,0.044,0.112,0.223,0.106,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
749,37,M,Low,2,721,28.33,1,5,Apparel,0.1,0.447,0.117,0.004,0.149,0.182,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
750,18,M,Mid,3,106,234.55,3,5,Beauty,0.068,0.061,0.242,0.47,0.143,0.016,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
751,29,M,Mid,8,77,31.02,14,5,Groceries,0.016,0.274,0.083,0.08,0.397,0.149,1,"For the money I paid, this product was not worth it and I felt disappointed.",0
752,18,F,Low,6,11,28.81,7,7,Beauty,0.132,0.083,0.128,0.287,0.265,0.105,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",1
753,42,M,Mid,1,467,31.32,0,3,Apparel,0.261,0.444,0.012,0.022,0.103,0.158,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
754,27,M,Mid,3,65,208.27,7,3,Apparel,0.009,0.23,0.206,0.101,0.226,0.228,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",1
755,47,F,Low,8,10,62.15,10,7,Groceries,0.44,0.041,0.004,0.016,0.454,0.046,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
756,35,F,Mid,16,40,36.12,13,2,Home,0.054,0.085,0.54,0.056,0.191,0.074,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
757,36,F,Mid,5,122,207.71,6,1,Sports,0.292,0.042,0.032,0.053,0.047,0.535,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",1
758,35,M,Mid,6,114,223.09,7,4,Beauty,0.098,0.229,0.077,0.271,0.2,0.125,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
759,26,M,Mid,2,517,30.11,3,5,Groceries,0.117,0.01,0.062,0.166,0.362,0.283,1,"For the price, I think this product provides great value and I would happily recommend it to others.",0
760,21,F,Mid,7,25,203.98,6,4,Apparel,0.342,0.376,0.07,0.03,0.073,0.109,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
761,44,M,Mid,10,175,84.19,7,3,Groceries,0.024,0.025,0.028,0.4,0.437,0.085,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
762,41,M,Mid,8,57,16.73,10,8,Sports,0.253,0.025,0.089,0.234,0.123,0.277,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
763,42,F,Low,7,43,36.23,13,5,Sports,0.212,0.084,0.194,0.135,0.134,0.24,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
764,40,M,Low,8,40,81.44,10,9,Electronics,0.385,0.175,0.069,0.108,0.008,0.255,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
765,41,F,Low,5,134,127.55,9,6,Home,0.019,0.022,0.548,0.134,0.199,0.079,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
766,18,F,Low,0,612,37.08,1,4,Beauty,0.055,0.197,0.23,0.388,0.055,0.075,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
767,18,M,Mid,9,15,36.84,10,3,Apparel,0.005,0.569,0.048,0.015,0.198,0.165,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
768,38,F,Low,5,122,75.3,10,3,Beauty,0.114,0.038,0.05,0.489,0.262,0.048,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
769,35,M,Mid,9,5,38.37,16,4,Sports,0.254,0.063,0.02,0.003,0.21,0.45,1,"For the price, I think this product provides great value and I would happily recommend it to others.",0
770,43,M,Low,2,76,207.52,9,7,Beauty,0.138,0.212,0.076,0.376,0.071,0.126,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
771,36,M,Low,4,92,183.38,3,9,Electronics,0.357,0.048,0.174,0.019,0.309,0.093,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
772,18,F,Mid,5,43,283.75,3,2,Apparel,0.071,0.326,0.034,0.083,0.245,0.241,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
773,44,F,Low,3,72,132.3,7,6,Sports,0.185,0.042,0.244,0.001,0.05,0.478,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
774,34,F,Mid,2,54,47.86,11,1,Beauty,0.181,0.123,0.107,0.342,0.208,0.039,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
775,44,F,High,12,6,53.47,5,6,Home,0.307,0.05,0.482,0.024,0.1,0.037,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
776,38,F,Low,0,667,30.8,0,7,Apparel,0.066,0.357,0.347,0.033,0.073,0.124,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
777,39,F,Mid,0,706,23.81,0,8,Sports,0.039,0.118,0.182,0.155,0.102,0.405,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
778,35,M,Mid,0,371,24.37,3,4,Electronics,0.237,0.106,0.066,0.2,0.207,0.183,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
779,19,F,Mid,4,726,28.9,3,4,Home,0.091,0.067,0.319,0.089,0.223,0.21,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
780,32,M,Mid,3,146,193.85,6,2,Groceries,0.036,0.108,0.147,0.136,0.384,0.189,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
781,23,F,High,6,108,163.17,4,4,Groceries,0.178,0.037,0.008,0.184,0.372,0.221,0,"For the money I paid, this product was not worth it and I felt disappointed.",0
782,47,M,Mid,12,13,40.16,11,5,Beauty,0.077,0.013,0.305,0.307,0.258,0.041,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,1
783,36,F,Mid,7,84,60.31,5,3,Sports,0.154,0.023,0.083,0.218,0.01,0.514,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
784,28,M,Mid,0,42,219.14,3,5,Groceries,0.012,0.329,0.056,0.061,0.365,0.178,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
785,42,F,Mid,1,528,39.79,1,2,Beauty,0.165,0.198,0.207,0.337,0.07,0.022,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
786,39,M,High,12,90,34.17,13,4,Electronics,0.324,0.117,0.134,0.26,0.144,0.022,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
787,31,M,Mid,2,350,36.97,1,4,Electronics,0.649,0.038,0.219,0.027,0.009,0.057,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
788,28,M,Mid,8,46,46.28,12,6,Apparel,0.01,0.4,0.174,0.16,0.093,0.164,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
789,40,M,Mid,2,84,301.24,3,3,Electronics,0.336,0.017,0.2,0.032,0.219,0.195,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
790,18,M,Mid,12,20,32.07,7,7,Groceries,0.022,0.187,0.056,0.231,0.352,0.152,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
791,31,F,Mid,4,192,79.99,11,4,Home,0.083,0.083,0.457,0.226,0.12,0.032,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
792,29,M,High,0,583,25.48,1,5,Beauty,0.328,0.077,0.047,0.446,0.099,0.002,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
793,30,F,Low,4,142,69.6,14,7,Home,0.028,0.161,0.301,0.11,0.108,0.293,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
794,18,F,Mid,4,47,138.7,10,3,Groceries,0.037,0.013,0.052,0.167,0.527,0.203,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
795,38,M,Low,6,126,94.52,7,3,Electronics,0.221,0.205,0.205,0.069,0.127,0.174,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
796,38,F,High,5,157,52.3,8,1,Apparel,0.182,0.294,0.103,0.066,0.199,0.158,1,"For the price, I think this product provides great value and I would happily recommend it to others.",0
797,32,F,High,3,45,91.65,6,1,Beauty,0.035,0.379,0.043,0.405,0.102,0.036,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
798,53,M,Mid,10,64,41.19,19,8,Electronics,0.542,0.166,0.02,0.064,0.069,0.14,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
799,28,F,High,14,66,38.21,18,8,Electronics,0.777,0.013,0.003,0.075,0.036,0.095,1,"For the money I paid, this product was not worth it and I felt disappointed.",0
800,40,M,Low,5,32,65.96,6,6,Groceries,0.018,0.102,0.219,0.055,0.319,0.288,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
801,30,F,Mid,15,24,47.68,12,6,Apparel,0.224,0.52,0.131,0.007,0.059,0.059,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
802,25,F,Mid,0,334,31.29,2,1,Beauty,0.086,0.021,0.2,0.387,0.293,0.014,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
803,51,F,Mid,7,134,76.81,8,7,Home,0.316,0.014,0.365,0.218,0.032,0.055,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,1
804,18,F,Low,5,78,106.4,2,5,Electronics,0.282,0.036,0.183,0.275,0.003,0.221,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
805,34,F,Low,1,432,40.5,1,1,Beauty,0.206,0.314,0.071,0.314,0.075,0.02,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
806,22,M,Low,8,138,72.98,1,5,Groceries,0.017,0.309,0.002,0.173,0.344,0.156,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
807,18,F,Low,1,541,28.7,0,3,Home,0.148,0.205,0.302,0.178,0.082,0.084,1,"For the money I paid, this product was not worth it and I felt disappointed.",0
808,42,M,Mid,0,379,36.13,0,5,Sports,0.042,0.104,0.178,0.189,0.239,0.247,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
809,18,F,Mid,10,5,24.46,8,2,Home,0.104,0.084,0.398,0.137,0.208,0.069,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
810,18,M,Mid,7,91,71.98,7,2,Sports,0.148,0.127,0.093,0.043,0.03,0.559,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
811,18,F,Low,9,108,193.75,6,7,Home,0.139,0.032,0.324,0.181,0.087,0.236,1,"For the money I paid, this product was not worth it and I felt disappointed.",1
812,18,M,Low,4,49,175.75,2,8,Apparel,0.134,0.298,0.044,0.27,0,0.253,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
813,23,F,Low,10,13,53.2,8,5,Beauty,0.17,0.114,0.039,0.41,0.042,0.225,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",1
814,41,F,Low,12,64,33.96,17,3,Home,0.245,0.217,0.274,0.149,0.02,0.096,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",1
815,26,F,Mid,6,99,39.44,5,7,Groceries,0.223,0.053,0.281,0.006,0.356,0.082,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
816,39,M,Low,2,73,98.13,8,2,Home,0.252,0.055,0.255,0.146,0.065,0.227,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
817,32,M,Mid,5,148,215.24,2,4,Home,0.159,0.026,0.384,0.019,0.264,0.147,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
818,40,F,High,12,93,38.14,14,2,Electronics,0.308,0.181,0.067,0.01,0.239,0.194,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
819,35,F,Mid,1,332,29.3,1,4,Apparel,0.119,0.412,0.058,0.145,0.058,0.208,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
820,51,M,Low,8,60,34.05,9,8,Home,0.182,0.061,0.493,0.053,0.146,0.065,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
821,55,M,Low,1,376,37.28,0,7,Home,0.029,0.197,0.421,0.003,0.26,0.09,0,"For the price, I think this product provides great value and I would happily recommend it to others.",1
822,38,F,Mid,7,74,86.87,8,3,Apparel,0.068,0.339,0.118,0.153,0.248,0.073,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
823,30,F,High,7,52,46.73,8,5,Apparel,0.136,0.592,0.035,0.001,0.172,0.064,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
824,45,F,Mid,4,192,64.7,5,7,Sports,0.227,0.033,0.058,0.216,0.109,0.357,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
825,39,F,Mid,5,66,69.31,11,3,Home,0.285,0.062,0.354,0.091,0.065,0.143,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",1
826,42,F,Mid,1,588,33.12,2,11,Sports,0.134,0.072,0.245,0.035,0.246,0.267,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
827,38,F,Low,2,59,186.19,4,1,Apparel,0.063,0.359,0.135,0.133,0.041,0.269,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
828,37,F,Low,14,33,29.54,13,9,Groceries,0.014,0.059,0.293,0.018,0.554,0.063,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
829,39,F,Mid,10,65,31.03,15,4,Apparel,0.117,0.34,0.262,0.018,0.085,0.177,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
830,33,F,Mid,5,101,77.24,16,6,Groceries,0.176,0.107,0.121,0.013,0.566,0.017,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
831,49,F,High,1,86,243.65,2,3,Beauty,0.031,0.135,0.129,0.494,0.036,0.175,1,"For the price, I think this product provides great value and I would happily recommend it to others.",1
832,47,F,Low,5,42,261.17,12,6,Groceries,0.023,0.2,0.32,0.069,0.355,0.032,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
833,47,F,Mid,12,96,33.28,10,4,Apparel,0.101,0.412,0.096,0.366,0.018,0.008,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
834,40,M,High,3,58,188.77,1,4,Sports,0.019,0.248,0.086,0.053,0.233,0.361,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",1
835,27,M,High,2,107,237.79,7,6,Electronics,0.469,0.103,0.117,0.187,0.09,0.034,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
836,36,M,Low,8,44,49.32,14,5,Beauty,0.035,0.198,0.002,0.377,0.1,0.289,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
837,63,M,Low,5,128,235.17,7,5,Groceries,0.169,0.136,0.107,0.147,0.295,0.145,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
838,25,M,Mid,3,105,208.93,1,3,Apparel,0.348,0.37,0.096,0.07,0.039,0.076,0,"For the price, I think this product provides great value and I would happily recommend it to others.",1
839,42,F,Mid,13,29,27.88,10,5,Beauty,0.325,0.031,0.03,0.335,0.066,0.214,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
840,52,F,Mid,0,318,25.1,0,4,Apparel,0.155,0.363,0.08,0.027,0.055,0.32,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
841,23,F,Low,12,13,36.63,14,7,Electronics,0.595,0.066,0.003,0.041,0.235,0.06,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
842,25,F,Low,4,110,92.77,4,2,Beauty,0.257,0.017,0.119,0.318,0.159,0.131,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
843,33,F,Mid,8,76,37.91,16,8,Home,0.057,0.037,0.421,0.368,0.073,0.044,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
844,49,M,Low,9,89,196.33,3,6,Sports,0.042,0.01,0.146,0.303,0.1,0.399,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
845,38,M,High,3,594,27.6,1,4,Home,0.193,0.055,0.389,0.166,0.174,0.022,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
846,32,M,Mid,5,28,286.25,6,3,Beauty,0.337,0.052,0.105,0.348,0.046,0.112,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
847,40,M,Mid,1,542,28.49,1,7,Home,0.132,0.189,0.266,0.131,0.202,0.08,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
848,37,M,Mid,2,196,52.27,6,9,Groceries,0.127,0.004,0.307,0.127,0.431,0.004,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
849,35,F,High,4,103,193.41,4,6,Apparel,0.031,0.467,0.061,0.23,0.062,0.15,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",1
850,42,M,Mid,3,10,227.46,3,7,Home,0.185,0.022,0.365,0.17,0.255,0.002,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",1
851,33,F,Low,3,320,39.34,0,6,Sports,0.014,0.029,0.26,0.099,0.058,0.539,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
852,53,M,Mid,11,53,37.73,14,2,Sports,0.151,0.074,0.178,0.009,0.075,0.513,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
853,38,M,Mid,5,93,81.63,5,13,Home,0.064,0.023,0.405,0.354,0.033,0.12,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
854,51,M,Mid,7,77,45.64,15,5,Electronics,0.37,0.075,0.032,0.012,0.149,0.361,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",1
855,35,F,Low,10,47,45.02,12,5,Apparel,0.261,0.269,0.162,0.036,0.003,0.268,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
856,31,F,High,1,716,30.52,0,4,Beauty,0.009,0.212,0.146,0.349,0.278,0.006,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
857,46,F,High,10,83,18.94,12,6,Home,0.075,0.26,0.268,0.148,0.001,0.248,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
858,43,M,High,9,85,40.2,7,2,Groceries,0.11,0.175,0.008,0.175,0.438,0.093,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
859,27,F,Mid,6,46,249.97,6,6,Apparel,0.085,0.533,0.002,0.001,0.378,0.002,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",1
860,52,M,Mid,0,774,31.37,1,4,Beauty,0.14,0,0.265,0.49,0.1,0.006,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
861,28,F,Mid,2,112,223.12,4,9,Electronics,0.437,0.218,0.065,0.173,0.05,0.057,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
862,38,M,Mid,3,107,174.75,7,2,Beauty,0.011,0.209,0.089,0.475,0.187,0.031,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
863,37,F,High,11,59,54.59,12,7,Sports,0.121,0.186,0.052,0.257,0.105,0.28,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
